x__0,x__1,x__2,label_id
0.960000,0.028000,0.212000,2
0.948000,0.036000,0.208000,2
0.948000,0.028000,0.208000,2
0.956000,0.020000,0.208000,2
0.952000,0.028000,0.204000,2
0.956000,0.028000,0.208000,2
0.952000,0.024000,0.204000,2
0.952000,0.024000,0.212000,2
0.956000,0.028000,0.216000,2
0.952000,0.028000,0.212000,2
0.956000,0.028000,0.208000,2
0.948000,0.032000,0.204000,2
0.952000,0.036000,0.204000,2
0.956000,0.024000,0.208000,2
0.960000,0.036000,0.208000,2
0.964000,0.028000,0.216000,2
0.956000,0.024000,0.212000,2
0.952000,0.028000,0.216000,2
0.952000,0.024000,0.208000,2
0.960000,0.016000,0.204000,2
0.952000,0.028000,0.204000,2
0.956000,0.024000,0.212000,2
0.960000,0.028000,0.204000,2
0.956000,0.024000,0.204000,2
0.956000,0.028000,0.212000,2
0.956000,0.032000,0.212000,2
0.952000,0.028000,0.204000,2
0.952000,0.028000,0.212000,2
0.960000,0.032000,0.208000,2
0.960000,0.024000,0.204000,2
0.964000,0.032000,0.212000,2
0.956000,0.028000,0.204000,2
0.960000,0.028000,0.212000,2
0.952000,0.020000,0.204000,2
0.960000,0.032000,0.200000,2
0.956000,0.028000,0.212000,2
0.952000,0.032000,0.208000,2
0.956000,0.028000,0.208000,2
0.956000,0.016000,0.204000,2
0.960000,0.024000,0.212000,2
0.956000,0.024000,0.200000,2
0.960000,0.032000,0.208000,2
0.960000,0.024000,0.212000,2
0.956000,0.020000,0.204000,2
0.956000,0.028000,0.212000,2
0.960000,0.024000,0.208000,2
0.960000,0.024000,0.208000,2
0.952000,0.024000,0.212000,2
0.960000,0.024000,0.212000,2
0.956000,0.032000,0.212000,2
0.960000,0.020000,0.212000,2
0.952000,0.024000,0.212000,2
0.960000,0.020000,0.212000,2
0.960000,0.028000,0.208000,2
0.956000,0.028000,0.212000,2
0.956000,0.028000,0.204000,2
0.952000,0.028000,0.216000,2
0.944000,0.028000,0.208000,2
0.940000,0.028000,0.216000,2
0.952000,0.032000,0.200000,2
0.956000,0.028000,0.204000,2
0.956000,0.028000,0.204000,2
0.960000,0.032000,0.208000,2
0.960000,0.020000,0.212000,2
0.960000,0.024000,0.204000,2
0.956000,0.024000,0.204000,2
0.952000,0.032000,0.208000,2
0.952000,0.036000,0.208000,2
0.956000,0.024000,0.208000,2
0.956000,0.028000,0.212000,2
0.952000,0.036000,0.212000,2
0.964000,0.040000,0.196000,2
0.952000,0.024000,0.216000,2
0.952000,0.028000,0.212000,2
0.956000,0.024000,0.204000,2
0.952000,0.024000,0.208000,2
0.956000,0.024000,0.212000,2
0.956000,0.028000,0.212000,2
0.960000,0.024000,0.212000,2
0.956000,0.024000,0.208000,2
0.956000,0.032000,0.204000,2
0.960000,0.016000,0.212000,2
0.952000,0.032000,0.216000,2
0.952000,0.024000,0.200000,2
0.952000,0.032000,0.212000,2
0.956000,0.032000,0.208000,2
0.948000,0.028000,0.216000,2
0.956000,0.028000,0.208000,2
0.960000,0.032000,0.212000,2
0.956000,0.028000,0.208000,2
0.956000,0.024000,0.208000,2
0.964000,0.024000,0.204000,2
0.956000,0.024000,0.212000,2
0.956000,0.024000,0.208000,2
0.960000,0.032000,0.204000,2
0.960000,0.032000,0.200000,2
0.956000,0.028000,0.212000,2
0.956000,0.032000,0.204000,2
0.952000,0.020000,0.204000,2
0.960000,0.036000,0.208000,2
0.960000,0.016000,0.204000,2
0.948000,0.032000,0.204000,2
0.952000,0.028000,0.204000,2
0.956000,0.028000,0.208000,2
0.956000,0.028000,0.204000,2
0.948000,0.032000,0.208000,2
0.948000,0.032000,0.216000,2
0.956000,0.028000,0.212000,2
0.960000,0.028000,0.208000,2
0.956000,0.024000,0.204000,2
0.952000,0.024000,0.212000,2
0.960000,0.028000,0.208000,2
0.960000,0.028000,0.216000,2
0.956000,0.028000,0.208000,2
0.952000,0.024000,0.216000,2
0.956000,0.032000,0.208000,2
0.956000,0.024000,0.208000,2
0.956000,0.032000,0.208000,2
0.952000,0.028000,0.208000,2
0.956000,0.024000,0.216000,2
0.960000,0.032000,0.208000,2
0.952000,0.032000,0.212000,2
0.952000,0.032000,0.212000,2
0.956000,0.024000,0.212000,2
0.960000,0.020000,0.208000,2
0.956000,0.024000,0.212000,2
0.948000,0.028000,0.212000,2
0.956000,0.028000,0.200000,2
0.956000,0.028000,0.208000,2
0.952000,0.020000,0.204000,2
0.952000,0.024000,0.208000,2
0.956000,0.024000,0.212000,2
0.952000,0.024000,0.204000,2
0.956000,0.032000,0.212000,2
0.956000,0.028000,0.212000,2
0.960000,0.024000,0.212000,2
0.956000,0.036000,0.212000,2
0.952000,0.020000,0.208000,2
0.952000,0.024000,0.208000,2
0.960000,0.024000,0.204000,2
0.956000,0.028000,0.204000,2
0.944000,0.024000,0.204000,2
0.948000,0.028000,0.216000,2
0.960000,0.024000,0.212000,2
0.960000,0.024000,0.212000,2
0.956000,0.028000,0.212000,2
0.952000,0.028000,0.212000,2
0.960000,0.028000,0.208000,2
0.960000,0.028000,0.212000,2
0.952000,0.028000,0.212000,2
0.952000,0.024000,0.200000,2
0.964000,0.024000,0.204000,2
0.956000,0.028000,0.212000,2
0.956000,0.032000,0.208000,2
0.944000,0.032000,0.208000,2
0.956000,0.024000,0.216000,2
0.956000,0.028000,0.212000,2
0.956000,0.024000,0.204000,2
0.952000,0.024000,0.212000,2
0.948000,0.024000,0.204000,2
0.952000,0.036000,0.204000,2
0.956000,0.028000,0.204000,2
0.952000,0.024000,0.204000,2
0.952000,0.036000,0.212000,2
0.960000,0.032000,0.204000,2
0.948000,0.028000,0.204000,2
0.952000,0.036000,0.216000,2
0.964000,0.024000,0.212000,2
0.952000,0.028000,0.216000,2
0.964000,0.028000,0.212000,2
0.956000,0.028000,0.212000,2
0.952000,0.032000,0.204000,2
0.956000,0.028000,0.208000,2
0.956000,0.032000,0.212000,2
0.956000,0.032000,0.204000,2
0.960000,0.024000,0.208000,2
0.960000,0.032000,0.212000,2
0.960000,0.024000,0.212000,2
0.956000,0.036000,0.216000,2
0.952000,0.028000,0.208000,2
0.968000,0.028000,0.208000,2
0.956000,0.024000,0.212000,2
0.956000,0.036000,0.216000,2
0.956000,0.032000,0.208000,2
0.952000,0.028000,0.212000,2
0.952000,0.036000,0.212000,2
0.956000,0.024000,0.216000,2
0.952000,0.028000,0.204000,2
0.960000,0.024000,0.212000,2
0.952000,0.024000,0.212000,2
0.960000,0.024000,0.212000,2
0.956000,0.028000,0.212000,2
0.952000,0.032000,0.204000,2
0.956000,0.036000,0.212000,2
0.956000,0.024000,0.204000,2
0.956000,0.028000,0.212000,2
0.960000,0.024000,0.212000,2
0.960000,0.024000,0.196000,2
0.952000,0.028000,0.212000,2
0.956000,0.028000,0.208000,2
0.952000,0.032000,0.216000,2
0.956000,0.032000,0.212000,2
0.960000,0.024000,0.196000,2
0.956000,0.024000,0.212000,2
0.956000,0.032000,0.216000,2
0.956000,0.028000,0.208000,2
0.952000,0.024000,0.208000,2
0.956000,0.028000,0.212000,2
0.956000,0.028000,0.212000,2
0.956000,0.028000,0.212000,2
0.956000,0.032000,0.216000,2
0.956000,0.020000,0.212000,2
0.952000,0.032000,0.212000,2
0.956000,0.028000,0.200000,2
0.952000,0.028000,0.208000,2
0.956000,0.024000,0.208000,2
0.956000,0.024000,0.200000,2
0.960000,0.032000,0.204000,2
0.952000,0.032000,0.212000,2
0.956000,0.024000,0.208000,2
0.960000,0.028000,0.200000,2
0.952000,0.028000,0.216000,2
0.956000,0.020000,0.204000,2
0.952000,0.028000,0.204000,2
0.960000,0.024000,0.204000,2
0.956000,0.028000,0.208000,2
0.956000,0.024000,0.212000,2
0.960000,0.028000,0.208000,2
0.956000,0.040000,0.204000,2
0.952000,0.024000,0.208000,2
0.956000,0.032000,0.204000,2
0.960000,0.028000,0.204000,2
0.968000,0.032000,0.204000,2
0.944000,0.032000,0.212000,2
0.948000,0.024000,0.208000,2
0.948000,0.024000,0.208000,2
0.956000,0.024000,0.204000,2
0.952000,0.024000,0.212000,2
0.956000,0.032000,0.204000,2
0.968000,0.020000,0.212000,2
0.952000,0.020000,0.208000,2
0.956000,0.028000,0.216000,2
0.956000,0.024000,0.212000,2
0.952000,0.032000,0.212000,2
0.952000,0.036000,0.208000,2
0.956000,0.024000,0.208000,2
0.948000,0.028000,0.208000,2
0.956000,0.028000,0.204000,2
0.960000,0.028000,0.200000,2
0.960000,0.020000,0.200000,2
0.956000,0.024000,0.212000,2
0.956000,0.028000,0.212000,2
0.956000,0.028000,0.216000,2
0.964000,0.024000,0.204000,2
0.960000,0.032000,0.212000,2
0.956000,0.028000,0.208000,2
0.956000,0.036000,0.216000,2
0.960000,0.028000,0.204000,2
0.948000,0.032000,0.208000,2
0.948000,0.028000,0.208000,2
0.960000,0.020000,0.208000,2
0.960000,0.024000,0.208000,2
0.960000,0.012000,0.196000,2
0.960000,0.028000,0.208000,2
0.956000,0.028000,0.208000,2
0.956000,0.028000,0.208000,2
0.956000,0.028000,0.208000,2
0.956000,0.024000,0.212000,2
0.960000,0.024000,0.216000,2
0.956000,0.024000,0.200000,2
0.952000,0.028000,0.204000,2
0.956000,0.028000,0.204000,2
0.956000,0.028000,0.212000,2
0.956000,0.028000,0.212000,2
0.956000,0.020000,0.208000,2
0.952000,0.024000,0.212000,2
0.956000,0.028000,0.204000,2
0.952000,0.028000,0.204000,2
0.956000,0.020000,0.204000,2
0.956000,0.024000,0.212000,2
0.956000,0.028000,0.208000,2
0.960000,0.028000,0.212000,2
0.960000,0.024000,0.208000,2
0.956000,0.024000,0.216000,2
0.952000,0.032000,0.216000,2
0.952000,0.028000,0.212000,2
0.960000,0.024000,0.208000,2
0.956000,0.024000,0.204000,2
0.960000,0.028000,0.216000,2
0.960000,0.028000,0.204000,2
0.956000,0.024000,0.212000,2
0.960000,0.024000,0.208000,2
0.960000,0.028000,0.208000,2
0.952000,0.028000,0.208000,2
0.948000,0.028000,0.212000,2
0.956000,0.032000,0.204000,2
0.956000,0.024000,0.204000,2
0.956000,0.032000,0.204000,2
0.960000,0.024000,0.212000,2
0.952000,0.032000,0.212000,2
0.956000,0.032000,0.208000,2
0.956000,0.024000,0.204000,2
0.960000,0.028000,0.212000,2
0.960000,0.028000,0.204000,2
0.952000,0.024000,0.212000,2
0.960000,0.024000,0.208000,2
0.956000,0.028000,0.212000,2
0.960000,0.024000,0.208000,2
0.956000,0.024000,0.212000,2
0.952000,0.028000,0.208000,2
0.960000,0.028000,0.208000,2
0.960000,0.032000,0.212000,2
0.956000,0.028000,0.208000,2
0.948000,0.028000,0.208000,2
0.948000,0.024000,0.208000,2
0.956000,0.032000,0.212000,2
0.956000,0.024000,0.204000,2
0.956000,0.024000,0.212000,2
0.960000,0.020000,0.208000,2
0.956000,0.016000,0.204000,2
0.956000,0.024000,0.208000,2
0.956000,0.024000,0.212000,2
0.956000,0.024000,0.204000,2
0.960000,0.032000,0.208000,2
0.956000,0.028000,0.204000,2
0.960000,0.032000,0.216000,2
0.956000,0.032000,0.208000,2
0.956000,0.032000,0.216000,2
0.956000,0.032000,0.204000,2
0.956000,0.032000,0.208000,2
0.952000,0.024000,0.208000,2
0.956000,0.020000,0.208000,2
0.956000,0.020000,0.208000,2
0.960000,0.024000,0.208000,2
